BEDRIJFSNAAM;VESTIGINGSPLAATS;UITGEKEERDE SUBSIDIEBEDRAG
EVOKE B.V.;WEERT;1192912
LOUWMAN DEALERBEDRIJVEN B.V.;'S-GRAVENHAGE;1185300
CP&A B.V.;BEST;1182852
REPAY HRM SERVICES N.V.;TILBURG;1177328
KEMA B.V.;ARNHEM;1174688
DENTSPLY SIRONA BENELUX B.V.;ZOETERMEER;1173528
MOTRAC INTERN TRANSPORT B.V.;ALMERE;1169640
GITP B.V.;UTRECHT;1164704
FOOTBALL CLUB UTRECHT B.V.;UTRECHT;1162808
HR VIA CARE B.V.;ROTTERDAM;1162548
AAR INTERNATIONAL INC.;HOOFDDORP;1161024
PHARMALEAD HEALTHCARE B.V.;BAARN;1159928
YC AMSTERDAM B.V.;AMSTERDAM;1149436
REPAY HRM N.V.;TILBURG;1146684
3D SALARIS B.V.;SON EN BREUGEL;1145868
DE BOER STRUCTURES B.V.;ALKMAAR;1145160
AKO B.V.;AMSTERDAM-DUIVENDRECHT;1144576
ECCO TANNERY (HOLLAND) B.V.;DONGEN;1144312
HOTEL MAATSCHAPPIJ SCHIPHOL BV;SCHIPHOL;1141832
D-RT SHARED SERVICES CENTER B.V.;HOOFDDORP;1139340
SPARTA ROTTERDAM B.V.;ROTTERDAM;1139276
WEPAYPEOPLE SALARISSEN B.V.;AMSTERDAM;1131092
HENDRIKS HOTELDIENSTEN B.V.;ARNHEM;1130284
CONSOLID GROEP B.V.;HOOFDDORP;1128660
OFFICE DEPOT EUROPE B.V.;VENLO;1124080
ITV STUDIOS NETHERLANDS HOLDING B.V.;HILVERSUM;1121880
GGN MASTERING CREDIT B.V.;UTRECHT;1120992
HELLOFLEX PEOPLE 300 B.V.;AMERSFOORT;1119404
VASTBOUW B.V.;RIJSSEN;1115068
ROYAL COSTER DIAMONDS B.V.;AMSTERDAM;1114468
BOLIDT KUNSTSTOFTOEPASSING B.V.;HENDRIK-IDO-AMBACHT;1112792
CARRIERE HR SOLUTIONS I B.V.;'S-GRAVENHAGE;1112780
PARK HOTEL B.V.;AMSTERDAM;1109972
WIEDEN & KENNEDY AMSTERDAM B.V.;AMSTERDAM;1108564
SEKISUI ALVEO B.V.;ROERMOND;1108332
EFFECT PHOTONICS B.V.;EINDHOVEN;1107428
VAN TILBURG-BASTIANEN DAF B.V.;BREDA;1106168
WILLEM II TILBURG B.V.;TILBURG;1101552
ACCOR HOTELS SERVICES NETHERLANDS   B.V.;SCHIPHOL;1098688
VOLVO GROUP TRUCK CENTER B.V.;ROTTERDAM;1096992
CONSULTANTS ON TARGETED SECURITY    NETHERLANDS B.V.;HOOFDDORP;1096452
PAY FOR PEOPLE PAYROLL B.V.;ROTTERDAM;1088532
REDWISE MARITIME RECRUITMENT B.V.;HUIZEN;1087528
SPARKOPTIMUS B.V.;AMSTERDAM;1086268
TICKETSWAP B.V.;AMSTERDAM;1084960
A.Z. N.V.;ALKMAAR;1083876
DE ROTTERDAM B.V.;ROTTERDAM;1082400
CONNEXXION TAXI SERVICES B.V.;IJSSELMUIDEN;1081032
AUTOPALACE ZWOLLE B.V.;ZWOLLE;1077560
STICHTING TIVOLIVREDENBURG;UTRECHT;1077208
TENTOO FLEXOLUTIONS B.V.;AMSTERDAM;1075196
SLUIS CIGAR MACHINERY B.V.;KAMPEN;1073892
MGG NETHERLANDS B.V.;TEGELEN;1072656
PAYROLL SELECT CC PAYROLL B.V.;DEVENTER;1068068
T.BOER EN ZONEN B.V.;NIEUWERKERK AD IJSSEL;1063616
EASYMATCH PAYROLLING B.V.;HEERLEN;1061704
MID OCEAN BRANDS B.V;EDE GLD;1058252
TRAFFIC SUPPORT B.V.;ZWOLLE;1057696
KMWE PRECISION B.V.;EINDHOVEN;1052328
SODEXO REMOTE SITES THE             NETHERLANDS B.V.;HOORN NH;1052144
DE WIT TRANSPORT                    HILLEGOM B.V.;OEGSTGEEST;1050012
VISTAPRINT B.V.;VENLO;1047744
RICARDO NEDERLAND B.V.;UTRECHT;1047076
TECHNOLOGY MANAGEMENT AND NETWORK   SERVICES B.V.;'S-GRAVENHAGE;1046644
MERCON MONTAGE B.V.;GORINCHEM;1042856
SCOTCH & SODA B.V.;HOOFDDORP;1041244
BRAVILOR BONAMAT B.V.;HEERHUGOWAARD;1038920
MANPOWER LOGISTICS B.V.;DIEMEN;1035536
MF UITZENDBUREAU HORECA B.V.;GRONINGEN;1031360
STRAIGHT INTERNATIONAL SECURITY B.V.;UTRECHT;1030136
AURUBIS NETHERLANDS B.V.;ZUTPHEN;1026948
CODEMA NEDERLAND B.V.;BERGSCHENHOEK;1026392
HIHCL AMSTERDAM B.V.;AMSTERDAM;1023316
FAIR PLAY CENTERS B.V.;KERKRADE;1017764
STERN 1M B.V.;NIEUWEGEIN;1017092
B.V. AMSTEL HOTEL MAATSCHAPPIJ;AMSTERDAM;1011916
VDL STEELWELD B.V.;EINDHOVEN;1011660
J.M.DE JONG DUKE AUTOMATENFABRIEK   B.V.;SLIEDRECHT;1010656
BASTION B.V.;UTRECHT;1010124
VOLVO GROUP THE NETHERLANDS B.V.;BEESD;1007552
REDWAVE B.V.;BEVERWIJK;1003900
NEPTUNUS CENTRAL SERVICES B.V.;KESSEL LB;1003248
WIVER LOGISTIEK B.V.;EEMNES;1003128
AMES AUTOBEDRIJF B.V.;DORDRECHT;1002416
GASSAN SCHIPHOL B.V.;SCHIPHOL;1000752
BUSINESS PEOPLE B.V.;POELDIJK;1000456
VICE BENELUX B.V.;AMSTERDAM;999120
BLUE SERVICES TECHNICIANS B.V.;HOEVELAKEN;988264
SODEXO CLEANING B.V.;ROTTERDAM;986132
ROYAL HUISMAN SHIPYARD B.V.;VOLLENHOVE;984496
NOOTEBOOM TRAILERS B.V.;WIJCHEN;977780
THE OMNI CLEANING COMPANY GROUP     BENELUX B.V.;AMSTERDAM;977716
AKOS B.V.;APELDOORN;977712
SELMERS INDUSTRIAL B.V.;BEVERWIJK;973512
ACCOR HOSPITALITY NEDERLAND N.V.;SCHIPHOL;972728
CENTURY AUTOGROEP B.V.;GRONINGEN;972576
WITTEBRUG B.V.;'S-GRAVENHAGE;972112
NETWERK VSP B.V.;GRONINGEN;966308
HOTEL CLEANING COMPANY B.V.;ARNHEM;965120
